window,balance,return_val,position
1,200.00029058138813,0.0002905813881250798,LONG
2,300.00009402716216,-0.00019655422594462856,LONG
3,399.99953685893,-0.0005571682321744811,LONG
4,499.99994958316597,0.00041272423594243025,LONG
5,599.9996099741295,-0.00033960903648970063,LONG
6,699.9995721282912,-3.784583830846049e-05,LONG
7,799.9993945567328,-0.00017757155841114083,LONG
8,899.9994063883781,1.1831645312976407e-05,LONG
9,999.9995740364097,0.00016764803165090976,LONG
10,1099.9997016375387,0.00012760112891950027,LONG
11,1200.0000826929904,0.0003810554517413693,LONG
12,1300.0000486520084,-3.404098200261222e-05,LONG
13,1399.9996420184298,-0.000406633578591498,LONG
14,1499.9995721682749,-6.985015489889123e-05,LONG
